News,Date,market_compound,sentiment_encoded,Open,High,Low,Close,Adj Close,Volume
"If leaders are serious about their state-like powers, they must treat customers as citizens",2020-02-25,0.34,1,75.23750305175781,75.63249969482422,71.53250122070312,72.0199966430664,70.3307113647461,230673600
Continuing surge in equities reflects hopes that coronavirus will be contained,2020-02-26,0.4215,1,71.63249969482422,74.47000122070312,71.625,73.1624984741211,71.44641876220703,198054800
Continuing surge in equities reflects hopes that coronavirus will be contained,2020-02-27,0.4215,1,70.2750015258789,71.5,68.23999786376953,68.37999725341797,66.77608489990234,320605600
Continuing surge in equities reflects hopes that coronavirus will be contained,2020-02-28,0.4215,1,64.31500244140625,69.60250091552734,64.09249877929688,68.33999633789062,66.73702239990234,426510000
Tech companies caught in coronavirus disruption,2020-02-29,-0.3612,-1,70.56999969482422,75.36000061035156,69.43000030517578,74.70249938964844,72.95030212402344,341397200
Tech companies caught in coronavirus disruption,2020-03-01,-0.3612,-1,70.56999969482422,75.36000061035156,69.43000030517578,74.70249938964844,72.95030212402344,341397200
Tech companies caught in coronavirus disruption,2020-03-02,-0.3612,-1,70.56999969482422,75.36000061035156,69.43000030517578,74.70249938964844,72.95030212402344,341397200
Tech companies caught in coronavirus disruption,2020-03-03,-0.3612,-1,75.9175033569336,76.0,71.44999694824219,72.33000183105469,70.63343811035156,319475600
Tech companies caught in coronavirus disruption,2020-03-04,-0.3612,-1,74.11000061035156,75.8499984741211,73.28250122070312,75.68499755859375,73.90974426269531,219178400
Tech companies caught in coronavirus disruption,2020-03-05,-0.3612,-1,73.87999725341797,74.88749694824219,72.85250091552734,73.2300033569336,71.5123291015625,187572800
Tech companies caught in coronavirus disruption,2020-03-06,-0.3612,-1,70.5,72.70500183105469,70.30750274658203,72.25749969482422,70.56263732910156,226176800
Tech companies caught in coronavirus disruption,2020-03-07,-0.3612,-1,65.9375,69.52249908447266,65.75,66.5425033569336,64.981689453125,286744800
Tech companies caught in coronavirus disruption,2020-03-08,-0.3612,-1,65.9375,69.52249908447266,65.75,66.5425033569336,64.981689453125,286744800
Tech companies caught in coronavirus disruption,2020-03-09,-0.3612,-1,65.9375,69.52249908447266,65.75,66.5425033569336,64.981689453125,286744800
Tech companies caught in coronavirus disruption,2020-03-10,-0.3612,-1,69.28500366210938,71.61000061035156,67.34249877929688,71.33499908447266,69.66178894042969,285290000
Tech companies caught in coronavirus disruption,2020-03-11,-0.3612,-1,69.34750366210938,70.30500030517578,67.96499633789062,68.85749816894531,67.24237823486328,255598800
Two-fifths defy management to back proposal on freedom of expression,2020-03-12,0.6369,1,63.98500061035156,67.5,62.0,62.057498931884766,60.60189437866211,418474000
Two-fifths defy management to back proposal on freedom of expression,2020-03-13,0.6369,1,66.22250366210938,69.9800033569336,63.23749923706055,69.49250030517578,67.86250305175781,370732000
"Agreements with Universal, Sony and Warner secure streaming rights to artists including Taylor Swift",2020-03-14,0.6486,1,60.48749923706055,64.7699966430664,60.0,60.5525016784668,59.1321907043457,322423600
"Agreements with Universal, Sony and Warner secure streaming rights to artists including Taylor Swift",2020-03-15,0.6486,1,60.48749923706055,64.7699966430664,60.0,60.5525016784668,59.1321907043457,322423600
Watchdog says tech giant colluded with wholesalers to align prices for iPads and computers,2020-03-16,0.0,0,60.48749923706055,64.7699966430664,60.0,60.5525016784668,59.1321907043457,322423600
